type,galaxyID,timeStep,age(GYr),redshift(z),camera,filter,px(pixels),errpx(pixels),py(pixels),errpy(pixels),mag,errmag,rad(pixels),errrad(pixels),rad(kpc),errrad(kpc),sersicIndex(n),errsersicIndex(n),b/a,errb/a,angle(deg),errangle(deg),sky
enum,enum,numeric,numeric,numeric,numeric,enum,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
central,VELA28,200,1.558,4.0,0,F160W,299.8439,0.0254,300.1331,0.0231,22.3782,0.0030,17.5238,0.0574,834.84084152,2.73455896,1.5427,0.0048,0.8892,0.0024,-48.1030,0.8570,0.000e+00
central,VELA28,200,1.558,4.0,1,F160W,299.8161,0.0385,300.7185,0.0193,22.5626,0.0024,21.5806,0.0475,1028.10841624,2.262919,1.0814,0.0037,0.4919,0.0011,-89.6285,0.0988,0.000e+00
central,VELA28,200,1.558,4.0,5,F160W,301.2761,0.0354,300.9061,0.0161,22.3401,0.0025,21.2104,0.0514,1010.47194016,2.44871656,1.3470,0.0044,0.4491,0.0011,89.3506,0.0909,0.000e+00
central,VELA28,200,1.558,4.0,6,F160W,300.5608,0.0264,300.9894,0.0187,22.3073,0.0024,17.1936,0.0417,819.10998144,1.98660468,1.4419,0.0040,0.6896,0.0015,-87.9966,0.2137,0.000e+00
central,VELA28,200,1.558,4.0,7,F160W,301.2389,0.0401,301.3326,0.0162,22.4454,0.0026,22.5495,0.0577,1074.2671998,2.74885108,1.3274,0.0033,0.4041,0.0010,-89.5093,0.0815,0.000e+00
central,VELA28,200,1.558,4.0,8,F160W,301.2957,0.0411,301.2813,0.0166,22.4312,0.0026,22.8090,0.0581,1086.6298836,2.76790724,1.2818,0.0038,0.4007,0.0010,-89.5351,0.0815,0.000e+00
other,VELA28,210,1.676,3.7619047619,0,F160W,367.3207,0.1442,336.3804,0.0612,28.4183,0.0963,127.3790,56.3500,6372.4274467,2819.038355,19.9983,4.6563,0.0500,0.0020,64.0555,0.1118,0.000e+00
central,VELA28,210,1.676,3.7619047619,0,F160W,300.8772,0.0297,300.1618,0.0313,22.2051,0.0026,17.1562,0.0502,858.27836426,2.51137046,1.4287,0.0049,0.9162,0.0021,-21.2530,1.1954,0.000e+00
central,VELA28,210,1.676,3.7619047619,1,F160W,297.5457,0.0462,300.0721,0.0196,22.3876,0.0024,24.2036,0.0518,1210.84075828,2.59141414,1.0093,0.0026,0.4414,0.0010,-87.9470,0.0878,0.000e+00
central,VELA28,210,1.676,3.7619047619,5,F160W,294.8090,0.0454,300.7502,0.0217,22.3138,0.0026,26.0267,0.0510,1302.04552891,2.5513923,0.9569,0.0038,0.4191,0.0010,-84.9982,0.0818,0.000e+00
central,VELA28,210,1.676,3.7619047619,6,F160W,296.6042,0.0381,301.2793,0.0190,22.2547,0.0021,23.1112,0.0440,1156.19093576,2.2012012,1.0114,0.0027,0.5080,0.0009,87.1392,0.0958,0.000e+00
central,VELA28,210,1.676,3.7619047619,7,F160W,297.5537,0.0439,301.4784,0.0198,22.2628,0.0025,22.8178,0.0508,1141.51292594,2.54138684,1.0453,0.0039,0.4507,0.0010,-85.7569,0.0923,0.000e+00
central,VELA28,210,1.676,3.7619047619,8,F160W,297.5105,0.0444,301.3762,0.0199,22.2847,0.0025,23.0416,0.0514,1152.70903568,2.57140322,1.0515,0.0040,0.4488,0.0010,-85.8612,0.0920,0.000e+00
central,VELA28,220,1.796,3.54545454545,0,F160W,301.6374,0.0345,299.0988,0.0397,21.5308,0.0033,18.1752,0.0575,952.32958944,3.012839,1.2860,0.0048,0.8708,0.0026,17.3599,0.7958,0.000e+00
other,VELA28,220,1.796,3.54545454545,0,F160W,64.7209,0.0678,78.1923,0.0387,22.5887,0.0054,16.5461,0.0617,866.96931092,3.23290724,0.4959,0.0051,0.5619,0.0021,73.0349,0.2656,0.000e+00
central,VELA28,220,1.796,3.54545454545,1,F160W,298.8430,0.0418,300.9714,0.0173,21.6307,0.0024,22.2089,0.0498,1163.68417508,2.60938056,1.0178,0.0033,0.4185,0.0009,81.4816,0.0809,0.000e+00
central,VELA28,220,1.796,3.54545454545,5,F160W,296.3263,0.0332,301.8190,0.0156,21.6007,0.0027,18.6452,0.0503,976.95627344,2.63557916,1.3699,0.0045,0.4489,0.0011,-86.3541,0.1019,0.000e+00
central,VELA28,220,1.796,3.54545454545,6,F160W,297.7354,0.0299,302.6298,0.0159,21.5367,0.0021,19.2564,0.0390,1008.98144208,2.0434908,1.1052,0.0033,0.5034,0.0010,85.7175,0.0919,0.000e+00
central,VELA28,220,1.796,3.54545454545,7,F160W,299.0359,0.0322,302.0765,0.0159,21.6237,0.0025,18.4571,0.0442,967.10036012,2.31595624,1.2658,0.0040,0.4877,0.0011,-83.8987,0.1061,0.000e+00
central,VELA28,220,1.796,3.54545454545,8,F160W,298.4348,0.0304,301.9810,0.0148,21.5875,0.0025,18.5744,0.0456,973.24655168,2.38931232,1.3645,0.0042,0.4676,0.0011,-83.9303,0.0987,0.000e+00
other,VELA28,230,1.919,3.34782608696,0,F160W,108.4854,0.0243,260.9750,0.0225,22.5689,0.0044,9.7981,0.0440,537.38267336,2.4132064,1.5777,0.0104,0.8719,0.0037,-77.0720,1.1079,0.000e+00
central,VELA28,230,1.919,3.34782608696,0,F160W,298.9353,0.0214,300.1120,0.0234,20.9869,0.0022,15.7276,0.0308,862.58965856,1.68924448,1.1629,0.0035,0.8899,0.0018,4.0087,0.5822,0.000e+00
central,VELA28,230,1.919,3.34782608696,1,F160W,301.0984,0.0217,301.4240,0.0125,21.2253,0.0018,17.5636,0.0286,963.28618016,1.56858416,1.1603,0.0030,0.5367,0.0010,85.5513,0.0864,0.000e+00
central,VELA28,230,1.919,3.34782608696,5,F160W,303.5461,0.0225,301.0155,0.0126,21.1587,0.0019,17.7376,0.0269,972.82931456,1.47534664,1.0920,0.0028,0.5126,0.0009,-88.3181,0.0851,0.000e+00
central,VELA28,230,1.919,3.34782608696,6,F160W,300.0392,0.0229,300.4308,0.0124,21.2196,0.0018,17.6901,0.0275,970.22414856,1.508254,1.1196,0.0028,0.5314,0.0009,-89.7404,0.0853,0.000e+00
central,VELA28,230,1.919,3.34782608696,7,F160W,304.4494,0.0213,301.3684,0.0129,21.1912,0.0019,18.8339,0.0266,1032.95654584,1.45889296,1.0465,0.0027,0.4875,0.0009,-85.6440,0.0771,0.000e+00
central,VELA28,230,1.919,3.34782608696,8,F160W,304.1609,0.0211,301.2809,0.0124,21.1855,0.0018,18.4798,0.0266,1013.53571888,1.45889296,1.0782,0.0027,0.4924,0.0009,-85.7693,0.0775,0.000e+00
central,VELA28,260,2.301,2.84615384615,0,F160W,299.5316,0.0128,301.1802,0.0133,20.9316,0.0022,9.8294,0.0232,609.19279204,1.43785712,1.5069,0.0050,0.9499,0.0019,63.4165,1.4318,0.000e+00
other,VELA28,260,2.301,2.84615384615,0,F160W,238.4820,0.0176,374.3337,0.0125,22.3296,0.0041,10.0082,0.0435,620.27420812,2.6959821,1.8220,0.0087,0.6592,0.0029,-61.3246,0.3418,0.000e+00
other,VELA28,260,2.301,2.84615384615,1,F160W,453.2013,0.0193,33.0463,0.0188,23.0578,0.0052,7.7836,0.0358,482.40106376,2.21876228,1.1534,0.0099,0.6662,0.0033,47.8128,0.4202,0.000e+00
central,VELA28,260,2.301,2.84615384615,1,F160W,301.1009,0.0109,300.5433,0.0058,21.0856,0.0021,9.5431,0.0192,591.44889146,1.18995072,1.7936,0.0046,0.6029,0.0013,79.3299,0.1385,0.000e+00
other,VELA28,260,2.301,2.84615384615,1,F160W,275.0185,0.0243,534.3850,0.0195,22.3726,0.0037,10.3805,0.0406,643.3480963,2.51624996,1.5370,0.0052,0.8319,0.0029,-76.5414,0.6515,0.000e+00
central,VELA28,260,2.301,2.84615384615,5,F160W,300.3734,0.0097,300.2022,0.0063,21.0168,0.0020,9.8286,0.0191,609.14321076,1.18375306,1.8210,0.0048,0.5855,0.0012,83.2346,0.1217,0.000e+00
other,VELA28,260,2.301,2.84615384615,5,F160W,499.7691,0.0270,39.1850,0.0146,23.0160,0.0050,9.7422,0.0415,603.78843252,2.5720289,1.2089,0.0092,0.4612,0.0023,63.9479,0.1969,0.000e+00
other,VELA28,260,2.301,2.84615384615,5,F160W,325.7872,0.0245,543.4705,0.0192,22.3700,0.0037,10.3392,0.0398,640.78846272,2.46666868,1.4836,0.0056,0.8045,0.0029,88.5744,0.5671,0.000e+00
central,VELA28,260,2.301,2.84615384615,6,F160W,299.3983,0.0112,300.4891,0.0061,21.1067,0.0020,11.0256,0.0214,683.32920096,1.32629924,1.8239,0.0045,0.5842,0.0012,87.6215,0.1186,0.000e+00
other,VELA28,260,2.301,2.84615384615,6,F160W,413.7335,0.0370,35.9464,0.0158,23.0096,0.0048,11.9548,0.0474,740.91785768,2.93769084,1.1185,0.0084,0.3969,0.0018,66.9940,0.1508,0.000e+00
other,VELA28,260,2.301,2.84615384615,6,F160W,396.2762,0.0139,534.3755,0.0167,22.4163,0.0036,10.3015,0.0364,638.4519449,2.25594824,1.5641,0.0069,0.6443,0.0023,38.1300,0.2668,0.000e+00
central,VELA28,260,2.301,2.84615384615,7,F160W,300.4178,0.0091,300.1987,0.0061,21.0411,0.0019,9.5763,0.0179,593.50651458,1.10938114,1.8021,0.0046,0.6030,0.0012,80.5585,0.1278,0.000e+00
other,VELA28,260,2.301,2.84615384615,7,F160W,465.3842,0.0226,50.5944,0.0149,23.0450,0.0049,8.1299,0.0349,503.86356034,2.16298334,1.1697,0.0092,0.5896,0.0028,59.5740,0.2952,0.000e+00
other,VELA28,260,2.301,2.84615384615,7,F160W,283.9680,0.0223,544.8040,0.0173,22.3576,0.0035,10.7030,0.0389,663.3355498,2.41088974,1.6334,0.0064,0.7748,0.0027,-77.9421,0.4660,0.000e+00
other,VELA28,260,2.301,2.84615384615,8,F160W,472.5619,0.0228,49.1711,0.0146,23.0438,0.0050,8.2547,0.0369,511.59824002,2.28693654,1.2309,0.0092,0.5743,0.0028,60.0859,0.2871,0.000e+00
central,VELA28,260,2.301,2.84615384615,8,F160W,300.3989,0.0096,300.1945,0.0063,21.0368,0.0020,9.5483,0.0181,591.77116978,1.12177646,1.7642,0.0043,0.5998,0.0012,81.0762,0.1287,0.000e+00
other,VELA28,260,2.301,2.84615384615,8,F160W,290.2902,0.0240,544.8598,0.0192,22.3569,0.0036,10.6898,0.0399,662.51745868,2.47286634,1.5150,0.0059,0.7864,0.0028,-82.2628,0.5052,0.000e+00
other,VELA28,270,2.434,2.7037037037,0,F160W,364.7088,0.0142,249.0293,0.0179,22.5269,0.0048,10.0836,0.0538,648.54790956,3.46025998,2.1359,0.0134,0.7069,0.0037,-47.9798,0.5002,0.000e+00
other,VELA28,270,2.434,2.7037037037,0,F160W,564.4099,0.0184,113.9749,0.0356,21.5936,0.0033,17.2289,0.0562,1108.11288419,3.61462102,1.3587,0.0062,0.4913,0.0016,-14.5325,0.1474,0.000e+00
central,VELA28,270,2.434,2.7037037037,0,F160W,300.5602,0.0108,301.0536,0.0119,21.0069,0.0025,10.8011,0.0305,694.69542881,1.96167155,1.6327,0.0060,0.8780,0.0020,57.5068,0.6461,0.000e+00
central,VELA28,270,2.434,2.7037037037,1,F160W,300.4127,0.0123,300.2468,0.0084,21.2865,0.0019,10.3591,0.0190,666.26727061,1.2220249,1.5208,0.0042,0.6826,0.0013,81.7214,0.1692,0.000e+00
other,VELA28,270,2.434,2.7037037037,1,F160W,335.6673,0.0111,578.1161,0.0146,22.4553,0.0033,10.1142,0.0424,650.51601282,2.72704504,2.0906,0.0094,0.7895,0.0026,-32.9447,0.5252,0.000e+00
other,VELA28,270,2.434,2.7037037037,1,F160W,280.2370,0.0133,401.6801,0.0124,22.8346,0.0029,6.1695,0.0255,396.80434845,1.64008605,1.7754,0.0101,0.9748,0.0028,53.9508,5.3105,0.000e+00
central,VELA28,270,2.434,2.7037037037,5,F160W,301.1792,0.0104,300.4532,0.0061,21.1841,0.0019,10.0007,0.0186,643.21602197,1.19629806,1.7564,0.0045,0.6403,0.0012,80.2262,0.1397,0.000e+00
other,VELA28,270,2.434,2.7037037037,5,F160W,262.4394,0.0118,561.3939,0.0125,22.4748,0.0033,9.3951,0.0357,604.26558621,2.29612047,1.8956,0.0081,0.9224,0.0029,-46.0510,1.5180,0.000e+00
other,VELA28,270,2.434,2.7037037037,5,F160W,315.7245,0.0136,406.2550,0.0095,22.8470,0.0039,8.2064,0.0355,527.81184944,2.28325705,2.1115,0.0109,0.6369,0.0025,76.4384,0.2967,0.000e+00
central,VELA28,270,2.434,2.7037037037,6,F160W,299.6754,0.0099,300.8091,0.0066,21.2414,0.0018,10.7097,0.0195,688.81684587,1.25418345,1.8288,0.0043,0.6098,0.0012,88.1328,0.1229,0.000e+00
other,VELA28,270,2.434,2.7037037037,6,F160W,217.7894,0.0121,575.2918,0.0166,22.5355,0.0034,10.5929,0.0429,681.30460859,2.75920359,1.9408,0.0085,0.6644,0.0023,11.0825,0.2907,0.000e+00
other,VELA28,270,2.434,2.7037037037,6,F160W,340.0892,0.0176,400.2528,0.0108,22.7614,0.0037,8.9728,0.0337,577.10447488,2.16748627,1.7714,0.0084,0.5980,0.0022,74.5621,0.2395,0.000e+00
central,VELA28,270,2.434,2.7037037037,7,F160W,300.8474,0.0112,300.5546,0.0068,21.2082,0.0019,9.9144,0.0181,637.66545624,1.16413951,1.6203,0.0043,0.6579,0.0013,79.1096,0.1509,0.000e+00
other,VELA28,270,2.434,2.7037037037,7,F160W,297.2314,0.0138,549.3943,0.0112,22.4439,0.0033,10.2285,0.0377,657.86745735,2.42475467,2.1565,0.0071,0.8246,0.0026,-51.2827,0.6021,0.000e+00
other,VELA28,270,2.434,2.7037037037,7,F160W,298.2477,0.0154,408.2896,0.0100,22.8320,0.0039,7.5011,0.0314,482.44899881,2.01955694,1.8288,0.0094,0.7137,0.0028,79.7557,0.4054,0.000e+00
central,VELA28,270,2.434,2.7037037037,8,F160W,301.0285,0.0114,300.4982,0.0068,21.2057,0.0019,9.9490,0.0183,639.8908279,1.17700293,1.6205,0.0043,0.6540,0.0013,79.3652,0.1494,0.000e+00
other,VELA28,270,2.434,2.7037037037,8,F160W,291.5055,0.0107,550.6862,0.0124,22.4480,0.0033,10.2423,0.0384,658.75503333,2.46977664,2.1493,0.0092,0.8417,0.0026,-54.1653,0.6902,0.000e+00
other,VELA28,270,2.434,2.7037037037,8,F160W,301.2425,0.0152,408.1041,0.0120,22.8414,0.0040,7.5081,0.0319,482.89921851,2.05171549,1.8221,0.0107,0.7037,0.0026,79.9009,0.3918,0.000e+00
central,VELA28,280,2.568,2.57142857143,0,F160W,300.2925,0.0162,300.2007,0.0143,20.9640,0.0033,9.8746,0.0354,658.65458174,2.36124726,1.6872,0.0078,0.8502,0.0027,65.7948,0.6804,0.000e+00
other,VELA28,280,2.568,2.57142857143,0,F160W,486.8004,0.0303,300.0712,0.0365,22.8868,0.0080,11.1879,0.1075,746.25418701,7.17045425,2.2286,0.0199,0.8381,0.0062,33.4070,1.5875,0.000e+00
other,VELA28,280,2.568,2.57142857143,0,F160W,464.3951,0.0130,214.3165,0.0199,20.2794,0.0025,12.5536,0.0255,837.34897184,1.70089845,1.0023,0.0043,0.6380,0.0014,34.6812,0.1789,0.000e+00
other,VELA28,280,2.568,2.57142857143,1,F160W,342.5615,0.0523,463.3821,0.0583,20.7277,0.0096,9.7452,0.1241,650.02335588,8.27770579,1.5505,0.0257,0.9772,0.0092,-8.9883,14.8724,0.000e+00
other,VELA28,280,2.568,2.57142857143,1,F160W,269.7551,0.0211,600.1262,0.0387,23.5948,0.0191,16.5835,0.3446,1106.15095865,22.98547474,3.9462,0.0804,0.4590,0.0126,-53.6902,1.2663,0.000e+00
central,VELA28,280,2.568,2.57142857143,1,F160W,302.0464,0.0456,300.5728,0.0070,22.0389,1.9223,6.417e-03,2.924e-02,0.4280260923,1.950363556,19.9998,14.7100,0.5976,0.0942,83.8654,7.7602,0.000e+00
other,VELA28,280,2.568,2.57142857143,5,F160W,185.4481,0.0231,393.2796,0.0202,20.5582,0.0045,9.9662,0.0415,664.76447578,2.76812885,1.8311,0.0113,0.7353,0.0032,-73.5151,0.4741,0.000e+00
other,VELA28,280,2.568,2.57142857143,5,F160W,132.8688,0.0731,572.3447,0.0244,23.4517,0.0098,85.7452,6.9336,5719.36775588,462.48429384,9.8256,0.3687,0.4287,0.0059,-58.3587,0.4532,0.000e+00
central,VELA28,280,2.568,2.57142857143,5,F160W,297.1173,0.0306,301.0828,0.0311,22.2077,1.7558,8.354e-03,3.214e-02,0.5572276726,2.143799066,19.9998,11.0704,0.3250,0.0359,-45.0112,2.0929,0.000e+00
other,VELA28,280,2.568,2.57142857143,6,F160W,121.8390,0.0136,429.2975,0.0139,20.3852,0.0029,12.8998,0.0386,860.44116962,2.57469334,1.7725,0.0075,0.3927,0.0012,42.5849,0.0947,0.000e+00
other,VELA28,280,2.568,2.57142857143,6,F160W,154.4251,0.0260,577.2072,0.0262,22.9398,0.0085,9.1442,0.1010,609.93551398,6.7368919,2.0605,0.0265,0.8224,0.0071,75.2108,1.7990,0.000e+00
central,VELA28,280,2.568,2.57142857143,6,F160W,300.3656,0.0233,300.5242,0.0141,21.1106,0.0040,9.7301,0.0380,649.01615719,2.5346722,1.6138,0.0069,0.6403,0.0027,83.6063,0.3094,0.000e+00
central,VELA28,280,2.568,2.57142857143,7,F160W,300.4428,0.0229,300.5237,0.0168,21.1461,0.0042,10.1197,0.0432,675.00321743,2.88152208,1.7337,0.0101,0.7612,0.0033,75.7978,0.5090,0.000e+00
other,VELA28,280,2.568,2.57142857143,7,F160W,178.3508,0.0261,526.9846,0.0388,22.9679,0.0096,10.2820,0.1139,685.8289358,7.59734641,2.0721,0.0273,0.6628,0.0064,43.7496,0.8232,0.000e+00
other,VELA28,280,2.568,2.57142857143,7,F160W,256.9403,0.0171,371.2348,0.0324,20.2760,0.0029,14.6100,0.0269,974.514759,1.79428111,0.4574,0.0026,0.5148,0.0011,-2.6148,0.1207,0.000e+00
other,VELA28,280,2.568,2.57142857143,8,F160W,244.4290,0.0283,384.6786,0.0333,20.4985,0.0052,10.6567,0.0635,710.82213773,4.23557065,1.5400,0.0133,0.8408,0.0042,16.9390,0.9958,0.000e+00
other,VELA28,280,2.568,2.57142857143,8,F160W,170.2496,0.0355,534.7671,0.0474,22.1207,0.0611,1117.1078,231.7679,74513.2127648,15459.359289,20.0000,1.1631,0.4964,0.0028,-49.1616,0.2334,0.000e+00
central,VELA28,280,2.568,2.57142857143,8,F160W,299.4447,0.0091,301.8580,0.0202,21.8241,0.0086,9.9519,0.0758,663.81063861,5.05600402,4.1527,0.0274,0.6208,0.0035,-50.8668,0.3869,0.000e+00
central,VELA28,290,2.704,2.44827586207,0,F160W,301.2314,0.0166,299.8473,0.0136,20.5036,0.0026,11.4752,0.0326,792.57370368,2.25162984,1.5140,0.0060,0.7866,0.0019,62.8503,0.3642,0.000e+00
other,VELA28,290,2.704,2.44827586207,0,F160W,394.4613,0.0120,244.2552,0.0162,20.7322,0.0029,13.0350,0.0433,900.306594,2.99066172,1.8559,0.0077,0.7406,0.0021,43.0887,0.3301,0.000e+00
