type,galaxyID,timeStep,age(GYr),redshift(z),camera,filter,px(pixels),errpx(pixels),py(pixels),errpy(pixels),mag,errmag,rad(pixels),errrad(pixels),rad(kpc),errrad(kpc),sersicIndex(n),errsersicIndex(n),b/a,errb/a,angle(deg),errangle(deg),sky
central,VELA28,340,3.413,1.94117647059,5,F160W,300.3879,0.0160,299.2126,0.0106,19.3882,0.0021,20.7060,0.0477,1677.3081654,3.86398143,2.2619,0.0056,0.5781,0.0013,-86.6954,0.1226,0.000e+00
other,VELA28,340,3.413,1.94117647059,6,F160W,561.5012,0.0128,83.6073,0.0160,21.7408,0.0062,7.2740,0.0575,589.2369166,4.65783925,2.3796,0.0189,0.8189,0.0050,30.6460,1.2082,0.000e+00
central,VELA28,340,3.413,1.94117647059,6,F160W,301.1725,0.0115,300.4405,0.0057,19.2365,0.0021,15.9098,0.0399,1288.78766782,3.23213541,2.6721,0.0055,0.7143,0.0015,-86.1353,0.2182,0.000e+00
other,VELA28,340,3.413,1.94117647059,7,F160W,150.5533,0.0174,196.3427,0.0162,21.7724,0.0053,8.2489,0.0538,668.20956851,4.35811742,2.1122,0.0107,0.8781,0.0047,-78.3261,1.6379,0.000e+00
central,VELA28,340,3.413,1.94117647059,7,F160W,300.7436,0.0107,301.1993,0.0085,19.3543,0.0019,19.7001,0.0414,1595.82433059,3.35364426,2.2359,0.0046,0.5180,0.0011,-81.4869,0.0958,0.000e+00
central,VELA28,340,3.413,1.94117647059,8,F160W,300.6558,0.0182,301.2627,0.0101,19.4061,0.0020,20.8193,0.0445,1686.48613387,3.60476255,2.0347,0.0043,0.5233,0.0011,-81.1254,0.0996,0.000e+00
other,VELA28,340,3.413,1.94117647059,8,F160W,163.3416,0.0209,183.4314,0.0169,21.7842,0.0056,8.4471,0.0552,684.26493789,4.47152568,2.1962,0.0138,0.8678,0.0049,-83.3211,1.4757,0.000e+00
central,VELA28,350,3.560,1.85714285714,0,F160W,300.4153,0.0066,300.5715,0.0060,19.1706,0.0020,13.2415,0.0334,1104.1106979,2.78497884,2.7610,0.0062,0.8907,0.0018,42.0772,0.6261,0.000e+00
other,VELA28,350,3.560,1.85714285714,0,F160W,402.2945,0.3590,360.3454,0.1788,22.4874,0.0102,47.6991,0.3245,3977.27497566,27.0576537,0.6745,0.0136,0.4535,0.0046,60.4128,0.3945,0.000e+00
central,VELA28,350,3.560,1.85714285714,1,F160W,300.4713,0.0182,300.9897,0.0119,19.5382,0.0021,23.0382,0.0534,1920.98501532,4.45263084,2.2222,0.0049,0.5237,0.0012,88.5930,0.1052,0.000e+00
central,VELA28,350,3.560,1.85714285714,5,F160W,301.5760,0.0084,300.0386,0.0074,19.4624,0.0020,16.1610,0.0378,1347.5461986,3.15186228,2.6647,0.0056,0.6320,0.0014,-85.0000,0.1525,0.000e+00
other,VELA28,350,3.560,1.85714285714,5,F160W,415.4913,0.0182,348.7270,0.0142,22.0343,0.0065,9.9593,0.0902,830.43232818,7.52111052,2.4586,0.0223,0.5391,0.0039,88.0378,0.4275,0.000e+00
central,VELA28,350,3.560,1.85714285714,6,F160W,300.6678,0.0074,300.7432,0.0066,19.2021,0.0020,13.4434,0.0329,1120.94564484,2.74328754,2.9404,0.0059,0.7618,0.0016,-86.1758,0.2654,0.000e+00
central,VELA28,350,3.560,1.85714285714,7,F160W,300.7983,0.0004,300.4074,0.0001,19.6114,0.0001,21.5540,0.0049,1797.2285604,0.40857474,1.9738,0.0024,0.6016,0.0001,-82.2629,0.0107,0.000e+00
other,VELA28,350,3.560,1.85714285714,7,F160W,298.1008,32838899712.0000,-7.3327,60028043264.0000,20.7421,105056714752.0000,1.000e-02,7.355e+08,0.833826,61327902300.0,3.6371,50184896512.0000,0.7620,939161472.0000,20.3401,752890806272.0000,0.000e+00
other,VELA28,350,3.560,1.85714285714,7,F160W,411.3612,0.0372,349.2681,0.0319,22.1082,0.0058,13.0087,0.1016,1084.69922862,8.47167216,1.6583,0.0177,0.7970,0.0045,-43.3622,1.2237,0.000e+00
central,VELA28,350,3.560,1.85714285714,8,F160W,301.5761,0.0187,300.1116,0.0125,19.6081,0.0021,22.0650,0.0516,1839.837069,4.30254216,2.1313,0.0052,0.5729,0.0013,-83.6425,0.1235,0.000e+00
other,VELA28,350,3.560,1.85714285714,8,F160W,411.4468,0.1029,348.9270,0.0422,21.9695,0.0067,22.4479,0.1614,1871.76426654,13.45795164,1.2720,0.0163,0.3872,0.0026,89.6654,0.2235,0.000e+00
central,VELA28,360,3.709,1.77777777778,0,F160W,300.4454,0.0041,300.4430,0.0038,19.2041,0.0017,13.3390,0.0313,1144.7823258,2.68623486,3.1162,0.0062,0.8977,0.0016,47.7743,0.6081,0.000e+00
central,VELA28,360,3.709,1.77777777778,1,F160W,300.5007,0.0201,300.7739,0.0112,19.6076,0.0020,25.1566,0.0561,2158.99475652,4.81462542,2.1611,0.0049,0.4805,0.0010,87.5038,0.0843,0.000e+00
central,VELA28,360,3.709,1.77777777778,5,F160W,300.3170,0.0067,300.5791,0.0038,19.3178,0.0017,14.7840,0.0305,1268.7954048,2.6175771,3.1647,0.0058,0.6346,0.0012,-87.7340,0.1279,0.000e+00
central,VELA28,360,3.709,1.77777777778,6,F160W,300.6139,0.0052,300.5214,0.0041,19.2171,0.0017,13.6164,0.0312,1168.58940408,2.67765264,3.1799,0.0058,0.8372,0.0015,-84.6053,0.3528,0.000e+00
central,VELA28,360,3.709,1.77777777778,7,F160W,299.6953,0.0139,299.9943,0.0088,19.5588,0.0017,22.7092,0.0457,1948.95350424,3.92207454,2.4203,0.0050,0.5180,0.0010,-83.4561,0.0848,0.000e+00
central,VELA28,360,3.709,1.77777777778,8,F160W,299.8387,0.0145,299.9802,0.0088,19.5649,0.0018,21.4192,0.0432,1838.24286624,3.70751904,2.3925,0.0048,0.5218,0.0010,-86.2604,0.0870,0.000e+00
central,VELA28,400,4.316,1.5,0,F160W,300.7327,0.0089,300.7274,0.0094,19.1172,0.0020,15.0984,0.0399,1438.41399912,3.80124507,2.7953,0.0057,0.8999,0.0018,-12.3253,0.6859,0.000e+00
central,VELA28,400,4.316,1.5,1,F160W,300.8250,0.0199,300.8665,0.0085,19.3655,0.0018,25.2491,0.0514,2405.46408263,4.89684202,2.1245,0.0041,0.3592,0.0007,89.0956,0.0490,0.000e+00
central,VELA28,400,4.316,1.5,6,F160W,300.1920,0.0106,300.3876,0.0082,19.1177,0.0020,15.1633,0.0402,1444.59697669,3.82982586,2.7513,0.0054,0.8783,0.0017,-62.8094,0.5581,0.000e+00
central,VELA28,400,4.316,1.5,7,F160W,300.8360,0.0153,300.0788,0.0081,19.2188,0.0016,22.5623,0.0427,2149.49452739,4.06799911,2.2124,0.0036,0.4490,0.0007,-89.5843,0.0611,0.000e+00
central,VELA28,410,4.471,1.43902439024,0,F160W,300.3807,0.0076,300.6737,0.0094,19.0767,0.0021,15.0700,0.0433,1471.573444,4.22821036,2.9261,0.0062,0.9245,0.0019,-13.0265,0.9901,0.000e+00
central,VELA28,410,4.471,1.43902439024,1,F160W,300.6960,0.0230,300.3969,0.0079,19.2222,0.0017,27.1111,0.0518,2647.37722612,5.05822856,1.9189,0.0038,0.3298,0.0006,89.3492,0.0424,0.000e+00
central,VELA28,410,4.471,1.43902439024,5,F160W,300.3594,0.0103,300.3110,0.0084,19.0749,0.0020,15.6177,0.0383,1525.05591084,3.73996436,2.6184,0.0045,0.7492,0.0015,-84.8842,0.2331,0.000e+00
central,VELA28,410,4.471,1.43902439024,6,F160W,300.5270,0.0076,300.1868,0.0104,19.0855,0.0021,14.8067,0.0421,1445.86240964,4.11103132,2.8599,0.0061,0.9241,0.0019,-46.5547,0.9736,0.000e+00
central,VELA28,410,4.471,1.43902439024,7,F160W,300.2799,0.0129,299.9136,0.0070,19.0986,0.0017,20.0398,0.0411,1956.87043816,4.01338212,2.3317,0.0038,0.4146,0.0008,-89.2651,0.0592,0.000e+00
central,VELA28,410,4.471,1.43902439024,8,F160W,300.3102,0.0129,300.0396,0.0079,19.0845,0.0018,18.7658,0.0410,1832.46535736,4.0036172,2.2996,0.0037,0.4798,0.0009,85.7111,0.0755,0.000e+00
central,VELA28,420,4.626,1.38095238095,0,F160W,300.6870,0.0067,300.3463,0.0074,19.0168,0.0019,15.7947,0.0402,1580.4018873,4.0223718,2.7678,0.0053,0.8714,0.0016,-25.3297,0.5054,0.000e+00
central,VELA28,420,4.626,1.38095238095,1,F160W,301.1090,0.0162,300.9587,0.0071,19.1685,0.0016,25.5549,0.0472,2556.9977391,4.7227848,2.3033,0.0046,0.3425,0.0006,88.9321,0.0427,0.000e+00
central,VELA28,420,4.626,1.38095238095,5,F160W,300.6817,0.0109,300.2916,0.0084,18.9858,0.0017,17.6734,0.0385,1768.3827306,3.8522715,2.5412,0.0042,0.7274,0.0013,-81.8891,0.1889,0.000e+00
central,VELA28,420,4.626,1.38095238095,6,F160W,300.3887,0.0075,300.6986,0.0084,19.0078,0.0019,15.3047,0.0380,1531.3729773,3.802242,2.7777,0.0051,0.9103,0.0016,-52.2366,0.7276,0.000e+00
central,VELA28,420,4.626,1.38095238095,7,F160W,300.8841,0.0160,300.3675,0.0066,19.0762,0.0016,22.5009,0.0407,2251.4175531,4.0724013,2.1278,0.0034,0.4025,0.0007,-89.2810,0.0501,0.000e+00
central,VELA28,420,4.626,1.38095238095,8,F160W,300.7345,0.0142,300.4461,0.0065,19.0393,0.0016,20.5663,0.0391,2057.8434117,3.9123069,2.2185,0.0033,0.4821,0.0008,-87.4330,0.0695,0.000e+00
central,VELA28,430,4.783,1.32558139535,1,F160W,299.8228,0.0285,300.7338,0.0094,19.1157,0.0016,30.7287,0.0546,3148.6162455,5.594589,1.6762,0.0037,0.3063,0.0005,88.6283,0.0359,0.000e+00
other,VELA28,430,4.783,1.32558139535,5,F160W,301.5586,0.1065,300.3563,0.0688,19.5744,0.0025,54.1485,0.1377,5548.3260525,14.1094305,0.4957,0.0026,0.6404,0.0011,83.1618,0.1433,0.000e+00
central,VELA28,430,4.783,1.32558139535,5,F160W,300.3808,0.0049,300.5110,0.0028,19.5348,0.0026,8.4000,0.0383,860.706,3.9244095,3.0071,0.0098,0.7482,0.0017,-88.5893,0.3771,0.000e+00
other,VELA28,430,4.783,1.32558139535,6,F160W,300.0690,0.1133,302.8156,0.1118,19.6038,0.0035,54.3780,0.1612,5571.84177,16.517358,0.5031,0.0034,0.9897,0.0015,83.8921,7.2203,0.000e+00
other,VELA28,430,4.783,1.32558139535,6,F160W,277.3372,0.0881,601.5289,0.3563,22.4054,0.0544,10.0017,0.1460,1024.8241905,14.95989,1.5981,0.0349,0.8818,0.0146,-18.3586,5.5415,0.000e+00
central,VELA28,430,4.783,1.32558139535,6,F160W,300.5683,0.0040,300.2796,0.0056,19.4839,0.0032,8.1994,0.0456,840.151521,4.672404,2.9782,0.0104,0.9931,0.0027,-38.3957,16.4880,0.000e+00
central,VELA28,430,4.783,1.32558139535,7,F160W,300.3048,0.0137,300.2299,0.0071,19.0037,0.0017,19.9589,0.0411,2045.0886885,4.2113115,2.2523,0.0035,0.4397,0.0008,-89.6507,0.0643,0.000e+00
central,VELA28,430,4.783,1.32558139535,8,F160W,300.3447,0.0149,300.2761,0.0082,19.0001,0.0018,19.1819,0.0424,1965.4733835,4.344516,2.1344,0.0030,0.4855,0.0009,-87.2870,0.0773,0.000e+00
other,VELA28,440,4.941,1.27272727273,1,F160W,50.0546,0.0172,72.8242,0.0156,22.2674,0.0062,7.4296,0.0642,778.7186648,6.7289946,2.5702,0.0173,0.8767,0.0053,-38.6041,1.9735,0.000e+00
central,VELA28,440,4.941,1.27272727273,1,F160W,300.2216,0.0239,300.6776,0.0085,19.1428,0.0017,26.7266,0.0530,2801.2951258,5.555089,1.8679,0.0034,0.3294,0.0006,-89.6302,0.0432,0.000e+00
central,VELA28,440,4.941,1.27272727273,7,F160W,300.8019,0.0166,300.1601,0.0090,19.0140,0.0018,19.1540,0.0404,2007.588202,4.2344452,1.9672,0.0029,0.4882,0.0009,-88.3896,0.0796,0.000e+00
other,VELA28,440,4.941,1.27272727273,7,F160W,431.4865,0.0147,19.0144,0.0247,22.2899,0.0074,7.2866,0.0763,763.7304058,7.9972319,2.4317,0.0217,0.9041,0.0070,22.6586,3.0489,0.000e+00
central,VELA28,450,5.100,1.22222222222,0,F160W,300.7274,0.0140,300.6316,0.0135,18.9380,0.0022,16.8880,0.0481,1810.089616,5.1554542,2.5350,0.0053,0.9746,0.0019,19.9963,2.9211,0.000e+00
central,VELA28,450,5.100,1.22222222222,1,F160W,300.3590,0.0257,300.6657,0.0087,19.0563,0.0017,28.9551,0.0525,3103.4655282,5.627055,1.7815,0.0037,0.3193,0.0006,-89.0052,0.0401,0.000e+00
other,VELA28,450,5.100,1.22222222222,5,F160W,396.4836,0.0237,259.5036,0.0281,21.9557,0.0074,12.3455,0.1477,1323.215381,15.8307814,2.3431,0.0294,0.7611,0.0057,34.8062,1.2112,0.000e+00
central,VELA28,450,5.100,1.22222222222,5,F160W,300.7750,0.0156,300.5716,0.0107,18.9124,0.0019,18.4949,0.0458,1982.3203718,4.9089356,2.2954,0.0040,0.7427,0.0015,-86.5963,0.2209,0.000e+00
central,VELA28,450,5.100,1.22222222222,6,F160W,300.3325,0.0129,300.4082,0.0120,18.9514,0.0021,16.3372,0.0457,1751.0537704,4.8982174,2.5507,0.0051,0.9527,0.0019,-58.8632,1.5481,0.000e+00
other,VELA28,450,5.100,1.22222222222,7,F160W,395.6697,0.0199,268.9943,0.0269,22.0623,0.0067,10.2131,0.1164,1094.6604842,12.4759848,2.3747,0.0256,0.7736,0.0055,41.5486,1.2269,0.000e+00
central,VELA28,450,5.100,1.22222222222,7,F160W,300.7612,0.0199,300.2791,0.0095,18.9546,0.0017,23.2390,0.0469,2490.802498,5.0268358,1.9202,0.0032,0.4470,0.0008,87.3165,0.0632,0.000e+00
other,VELA28,450,5.100,1.22222222222,8,F160W,395.7746,0.0182,267.0161,0.0289,21.9951,0.0070,11.4957,0.1298,1232.1321174,13.9122236,2.3805,0.0236,0.7297,0.0050,36.7751,0.9738,0.000e+00
central,VELA28,450,5.100,1.22222222222,8,F160W,300.7446,0.0215,300.3180,0.0117,18.9560,0.0018,22.0298,0.0479,2361.1980236,5.1340178,1.8118,0.0028,0.5266,0.0010,87.2739,0.0900,0.000e+00
central,VELA28,460,5.259,1.17391304348,1,F160W,299.9016,0.0192,300.9337,0.0074,19.1353,0.0016,26.7235,0.0490,2928.9223235,5.370449,2.0689,0.0041,0.3168,0.0006,-87.1704,0.0389,0.000e+00
other,VELA28,460,5.259,1.17391304348,1,F160W,446.4552,0.0131,409.6226,0.0151,22.3787,0.0067,8.4009,0.0764,920.7470409,8.3735164,2.7789,0.0221,0.8437,0.0055,-48.7903,1.6239,0.000e+00
other,VELA28,460,5.259,1.17391304348,6,F160W,419.0394,0.0341,160.5615,0.0211,22.0591,0.0951,927.1296,291.0298,101614.33129,31897.1571098,19.9999,1.6589,0.9088,0.0061,-35.2850,2.3260,0.000e+00
central,VELA28,460,5.259,1.17391304348,6,F160W,300.5978,0.0174,300.7222,0.0178,18.9103,0.0016,19.2170,0.0541,2106.202417,5.9294141,1.9897,0.0033,0.9708,0.0017,-50.7910,2.5055,0.000e+00
other,VELA28,460,5.259,1.17391304348,7,F160W,144.0396,0.0178,438.2117,0.0172,22.4529,0.0068,7.2980,0.0716,799.868098,7.8474316,2.5959,0.0159,0.8962,0.0057,15.3886,2.8938,0.000e+00
central,VELA28,460,5.259,1.17391304348,7,F160W,300.5564,0.0190,300.2118,0.0098,18.9607,0.0017,21.6703,0.0438,2375.0865503,4.8005238,1.8610,0.0026,0.4748,0.0009,-89.9870,0.0684,0.000e+00
central,VELA28,460,5.259,1.17391304348,8,F160W,300.5491,0.0195,300.2163,0.0111,18.9349,0.0017,21.7800,0.0463,2387.10978,5.0745263,1.8727,0.0028,0.5253,0.0010,83.8534,0.0836,0.000e+00
other,VELA28,460,5.259,1.17391304348,8,F160W,143.5278,0.0146,445.4163,0.0181,22.4219,0.0059,7.8905,0.0799,864.8066905,8.7571199,2.8564,0.0302,0.9179,0.0066,18.4668,3.7439,0.000e+00
central,VELA28,470,5.419,1.12765957447,0,F160W,300.5535,0.0110,300.6233,0.0116,18.9173,0.0018,16.7509,0.0415,1876.2515581,4.6483735,2.5365,0.0045,0.9858,0.0017,40.4678,4.7256,0.000e+00
central,VELA28,470,5.419,1.12765957447,5,F160W,300.6438,0.0134,300.4907,0.0101,18.8903,0.0018,17.7068,0.0407,1983.3209612,4.5587663,2.3225,0.0034,0.7979,0.0015,77.2785,0.2754,0.000e+00
central,VELA28,470,5.419,1.12765957447,7,F160W,300.6733,0.0142,300.1502,0.0080,18.9295,0.0016,20.1576,0.0386,2257.8326184,4.3235474,2.1362,0.0027,0.4845,0.0008,88.4695,0.0739,0.000e+00
central,VELA28,490,5.741,1.04081632653,0,F160W,300.1826,0.0128,300.6177,0.0110,18.8271,0.0018,16.8657,0.0418,1967.6874876,4.8767224,2.5292,0.0044,0.9622,0.0017,88.1317,1.6460,0.000e+00
central,VELA28,490,5.741,1.04081632653,1,F160W,300.3604,0.0244,300.9559,0.0077,18.9752,0.0016,29.3108,0.0516,3419.6324144,6.0200688,1.7465,0.0032,0.2703,0.0004,-89.1441,0.0299,0.000e+00
central,VELA28,490,5.741,1.04081632653,5,F160W,300.1296,0.0147,300.7397,0.0111,18.8116,0.0018,17.5428,0.0400,2046.6833904,4.66672,2.2035,0.0030,0.7465,0.0012,87.1308,0.2082,0.000e+00
central,VELA28,490,5.741,1.04081632653,8,F160W,300.2373,0.0124,300.6245,0.0064,18.7562,0.0015,20.5152,0.0394,2393.4673536,4.5967192,2.3677,0.0034,0.4972,0.0008,-87.3742,0.0680,0.000e+00
central,VELA28,500,5.903,1.0,0,F160W,300.5048,0.0104,300.6256,0.0113,18.7985,0.0017,16.3997,0.0395,1952.6958793,4.7032255,2.5139,0.0043,0.9866,0.0016,-78.5096,4.5809,0.000e+00
central,VELA28,500,5.903,1.0,5,F160W,300.6159,0.0134,300.5459,0.0099,18.7609,0.0017,18.8185,0.0400,2240.6999765,4.76276,2.2755,0.0035,0.7411,0.0011,-88.5459,0.1921,0.000e+00
central,VELA28,500,5.903,1.0,8,F160W,300.5524,0.0164,300.3840,0.0095,18.8044,0.0016,20.3295,0.0395,2420.6132355,4.7032255,1.9136,0.0025,0.5560,0.0009,86.8206,0.0889,0.000e+00
central,VELA28,510,6.066,0.960784313725,0,F160W,300.5853,0.0105,300.6053,0.0109,18.7367,0.0018,19.3170,0.0442,2345.798529,5.3675154,2.2378,0.0037,0.9425,0.0015,-49.4148,1.0040,0.000e+00
central,VELA28,510,6.066,0.960784313725,1,F160W,300.7754,0.0243,300.7344,0.0069,18.9641,0.0014,28.8052,0.0433,3498.0170724,5.2582221,1.5655,0.0027,0.2619,0.0004,87.1512,0.0263,0.000e+00
other,VELA28,510,6.066,0.960784313725,1,F160W,254.1306,0.0164,242.4716,0.0107,22.3584,0.0064,8.1001,0.0748,983.6518437,9.0834876,2.9266,0.0193,0.8931,0.0057,74.3698,2.4008,0.000e+00
central,VELA28,510,6.066,0.960784313725,5,F160W,300.6151,0.0144,300.4749,0.0108,18.7018,0.0016,20.1797,0.0412,2450.5622289,5.0032044,2.1866,0.0032,0.7460,0.0011,-81.0373,0.1790,0.000e+00
central,VELA28,510,6.066,0.960784313725,6,F160W,300.3643,0.0135,300.3747,0.0122,18.7354,0.0017,18.7129,0.0425,2272.4384373,5.1610725,2.3550,0.0039,0.8919,0.0014,81.2686,0.5182,0.000e+00
central,VELA28,510,6.066,0.960784313725,8,F160W,300.6135,0.0132,300.3328,0.0074,18.7179,0.0015,21.3205,0.0378,2589.0975585,4.5903186,2.1925,0.0032,0.5143,0.0008,-85.7032,0.0715,0.000e+00
